Timestamp,Source IP,Destination IP,Query,Query Type,Query Class,Response Code
1720703404.790171,192.168.1.1,192.168.1.11,www.googletagmanager.com.,1,1,
1720703404.798077,192.168.1.11,192.168.1.1,drive-thirdparty.googleusercontent.com.,28,1,
1720703404.798306,192.168.1.11,192.168.1.1,drive-thirdparty.googleusercontent.com.,1,1,
1720703404.79846,192.168.1.11,192.168.1.1,drive-thirdparty.googleusercontent.com.,65,1,
1720703404.810896,192.168.1.1,192.168.1.11,www.googletagmanager.com.,65,1,
1720703404.810896,192.168.1.1,192.168.1.11,drive-thirdparty.googleusercontent.com.,28,1,
1720703404.813753,192.168.1.1,192.168.1.11,drive-thirdparty.googleusercontent.com.,1,1,
1720703404.81389,192.168.1.1,192.168.1.11,drive-thirdparty.googleusercontent.com.,65,1,
1720703404.90076,192.168.1.11,192.168.1.1,chatgpt.com.,28,1,
1720703404.901601,192.168.1.11,192.168.1.1,chatgpt.com.,1,1,
1720703404.901952,192.168.1.11,192.168.1.1,chatgpt.com.,65,1,
1720703404.915802,192.168.1.1,192.168.1.11,chatgpt.com.,28,1,
1720703404.91608,192.168.1.1,192.168.1.11,chatgpt.com.,1,1,
1720703404.916513,192.168.1.1,192.168.1.11,chatgpt.com.,65,1,
1720703404.919665,192.168.1.11,192.168.1.1,cdn.oaistatic.com.,28,1,
1720703404.920311,192.168.1.11,192.168.1.1,cdn.oaistatic.com.,1,1,
1720703404.920667,192.168.1.11,192.168.1.1,cdn.oaistatic.com.,65,1,
1720703404.967173,192.168.1.1,192.168.1.11,cdn.oaistatic.com.,28,1,
1720703404.967173,192.168.1.1,192.168.1.11,cdn.oaistatic.com.,1,1,
1720703404.967173,192.168.1.1,192.168.1.11,cdn.oaistatic.com.,65,1,
1720703406.894115,192.168.1.11,192.168.1.1,ab.chatgpt.com.,28,1,
1720703406.894404,192.168.1.11,192.168.1.1,ab.chatgpt.com.,1,1,
1720703406.894679,192.168.1.11,192.168.1.1,ab.chatgpt.com.,65,1,
1720703406.946786,192.168.1.1,192.168.1.11,ab.chatgpt.com.,28,1,
1720703406.996966,192.168.1.1,192.168.1.11,ab.chatgpt.com.,1,1,
1720703406.996966,192.168.1.1,192.168.1.11,ab.chatgpt.com.,65,1,
1720703407.093847,192.168.1.11,192.168.1.1,addons-pa.clients6.google.com.,28,1,
1720703407.09424,192.168.1.11,192.168.1.1,addons-pa.clients6.google.com.,1,1,
1720703407.094504,192.168.1.11,192.168.1.1,addons-pa.clients6.google.com.,65,1,
1720703407.104815,192.168.1.1,192.168.1.11,addons-pa.clients6.google.com.,28,1,
1720703407.105127,192.168.1.1,192.168.1.11,addons-pa.clients6.google.com.,1,1,
1720703407.1209,192.168.1.1,192.168.1.11,addons-pa.clients6.google.com.,65,1,
1720703407.120959,192.168.1.11,192.168.1.1,addons-pa.clients6.google.com.,65,1,
1720703407.699698,192.168.1.11,192.168.1.1,tcr9i.chat.openai.com.,28,1,
1720703407.700379,192.168.1.11,192.168.1.1,tcr9i.chat.openai.com.,1,1,
1720703407.700754,192.168.1.11,192.168.1.1,tcr9i.chat.openai.com.,65,1,
1720703407.712954,192.168.1.1,192.168.1.11,tcr9i.chat.openai.com.,28,1,
1720703407.712954,192.168.1.1,192.168.1.11,tcr9i.chat.openai.com.,1,1,
1720703407.712954,192.168.1.1,192.168.1.11,tcr9i.chat.openai.com.,65,1,
1720703408.439108,192.168.1.11,192.168.1.1,ogads-pa.clients6.google.com.,28,1,
1720703408.43959,192.168.1.11,192.168.1.1,ogads-pa.clients6.google.com.,1,1,
1720703408.439968,192.168.1.11,192.168.1.1,ogads-pa.clients6.google.com.,65,1,
1720703408.449718,192.168.1.1,192.168.1.11,ogads-pa.clients6.google.com.,28,1,
1720703408.450027,192.168.1.1,192.168.1.11,ogads-pa.clients6.google.com.,1,1,
1720703408.48348,192.168.1.1,192.168.1.11,ogads-pa.clients6.google.com.,65,1,
1720703408.483564,192.168.1.11,192.168.1.1,ogads-pa.clients6.google.com.,65,1,
1720703408.673944,192.168.1.11,192.168.1.1,beacons.gcp.gvt2.com.,28,1,
1720703408.674433,192.168.1.11,192.168.1.1,beacons.gcp.gvt2.com.,1,1,
1720703408.674876,192.168.1.11,192.168.1.1,beacons.gcp.gvt2.com.,65,1,
1720703408.687841,192.168.1.1,192.168.1.11,beacons.gcp.gvt2.com.,28,1,
1720703408.689422,192.168.1.1,192.168.1.11,beacons.gcp.gvt2.com.,1,1,
1720703408.689422,192.168.1.1,192.168.1.11,beacons.gcp.gvt2.com.,65,1,
1720703409.393388,192.168.1.11,192.168.1.1,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.393851,192.168.1.11,192.168.1.1,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.394174,192.168.1.11,192.168.1.1,3wqhp8a6k9f-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
1720703409.398895,192.168.1.11,192.168.1.1,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,28,1,
1720703409.399322,192.168.1.11,192.168.1.1,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,1,1,
1720703409.399677,192.168.1.11,192.168.1.1,grq1b52mrd-496ff2e9c6d22116-0-colab.googleusercontent.com.,65,1,
